date,pct,above,valid,members,ndx
2023-09-25,24.74,24,97,101,14768.9
2023-09-26,12.37,12,97,101,14545.83
2023-09-27,14.43,14,97,101,14580.16
2023-09-28,25.77,25,97,101,14702.77
2023-09-29,21.65,21,97,101,14715.24
2023-10-02,23.71,23,97,101,14837.57
2023-10-03,12.37,12,97,101,14565.62
2023-10-04,22.68,22,97,101,14776.25
2023-10-05,21.65,21,97,101,14723.22
2023-10-06,35.05,34,97,101,14973.24
2023-10-09,40.21,39,97,101,15047.15
2023-10-10,43.3,42,97,101,15131.52
2023-10-11,50.52,49,97,101,15241.12
2023-10-12,49.48,48,97,101,15184.1
2023-10-13,40.21,39,97,101,14995.12
2023-10-16,49.48,48,97,101,15172.73
2023-10-17,48.45,47,97,101,15122.01
2023-10-18,37.11,36,97,101,14909.26
2023-10-19,29.9,29,97,101,14783.13
2023-10-20,23.71,23,97,101,14560.88
2023-10-23,23.71,23,97,101,14604.85
2023-10-24,27.84,27,97,101,14745.86
2023-10-25,17.53,17,97,101,14381.64
2023-10-26,13.4,13,97,101,14109.57
2023-10-27,12.37,12,97,101,14180.42
2023-10-30,16.49,16,97,101,14335.51
2023-10-31,21.65,21,97,101,14409.78
2023-11-01,32.99,32,97,101,14664.91
2023-11-02,46.39,45,97,101,14919.55
2023-11-03,50.52,49,97,101,15099.49
2023-11-06,50.52,49,97,101,15154.93
2023-11-07,53.61,52,97,101,15296.02
2023-11-08,51.55,50,97,101,15313.24
2023-11-09,47.42,46,97,101,15187.9
2023-11-10,57.73,56,97,101,15529.12
2023-11-13,55.67,54,97,101,15482.79
2023-11-14,72.16,70,97,101,15812.47
2023-11-15,74.23,72,97,101,15817.18
2023-11-16,67.01,65,97,101,15833.17
2023-11-17,69.07,67,97,101,15837.99
2023-11-20,75.26,73,97,101,16027.06
2023-11-21,74.23,72,97,101,15933.62
2023-11-22,73.2,71,97,101,16001.39
2023-11-24,74.23,72,97,101,15982.01
2023-11-27,74.23,72,97,101,15961.98
2023-11-28,76.29,74,97,101,16010.43
2023-11-29,73.2,71,97,101,15987.6
2023-11-30,73.2,71,97,101,15947.87
2023-12-01,79.38,77,97,101,15997.58
2023-12-04,77.32,75,97,101,15839.67
2023-12-05,73.2,71,97,101,15877.71
2023-12-06,72.16,70,97,101,15788.05
2023-12-07,76.29,74,97,101,16022.49
2023-12-08,78.35,76,97,101,16084.69
2023-12-11,84.54,82,97,101,16221.73
2023-12-12,83.51,81,97,101,16354.25
2023-12-13,89.69,87,97,101,16562.37
2023-12-14,88.66,86,97,101,16537.83
2023-12-15,89.69,87,97,101,16623.45
2023-12-18,93.81,91,97,101,16729.8
2023-12-19,94.85,92,97,101,16811.85
2023-12-20,92.78,90,97,101,16554.16
2023-12-21,93.81,91,97,101,16757.41
2023-12-22,93.81,91,97,101,16777.4
2023-12-26,93.81,91,97,101,16878.46
2023-12-27,92.78,90,97,101,16906.8
2023-12-28,92.78,90,97,101,16898.47
2023-12-29,92.78,90,97,101,16825.93
2024-01-02,87.63,85,97,101,16543.94
2024-01-03,85.57,83,97,101,16368.49
2024-01-04,82.47,80,97,101,16282.01
2024-01-05,79.38,77,97,101,16305.98
2024-01-08,84.54,82,97,101,16649.87
2024-01-09,80.41,78,97,101,16678.7
2024-01-10,77.32,75,97,101,16793.05
2024-01-11,80.41,78,97,101,16820.9
2024-01-12,81.44,79,97,101,16832.92
2024-01-16,79.38,77,97,101,16830.71
2024-01-17,72.16,70,97,101,16736.28
2024-01-18,77.32,75,97,101,16982.29
2024-01-19,82.47,80,97,101,17314.0
2024-01-22,83.51,81,97,101,17330.38
2024-01-23,85.57,83,97,101,17404.21
2024-01-24,79.38,77,97,101,17499.3
2024-01-25,83.51,81,97,101,17516.99
2024-01-26,77.32,75,97,101,17421.01
2024-01-29,84.54,82,97,101,17596.27
2024-01-30,79.38,77,97,101,17476.71
2024-01-31,70.1,68,97,101,17137.24
2024-02-01,76.29,74,97,101,17344.71
2024-02-02,70.1,68,97,101,17642.73
2024-02-05,69.07,67,97,101,17613.04
2024-02-06,74.23,72,97,101,17572.73
2024-02-07,74.23,72,97,101,17755.07
2024-02-08,72.16,70,97,101,17783.17
2024-02-09,67.01,65,97,101,17962.41
2024-02-12,69.07,67,97,101,17882.66
2024-02-13,60.82,59,97,101,17600.42
2024-02-14,62.89,61,97,101,17807.63
2024-02-15,62.89,61,97,101,17845.72
2024-02-16,59.79,58,97,101,17685.98
2024-02-20,60.82,59,97,101,17546.1
2024-02-21,63.92,62,97,101,17478.91
2024-02-22,64.95,63,97,101,18004.7
2024-02-23,64.95,63,97,101,17937.61
2024-02-26,60.82,59,97,101,17933.33
2024-02-27,62.89,61,97,101,17971.05
2024-02-28,60.82,59,97,101,17874.5
2024-02-29,62.89,61,97,101,18043.85
2024-03-01,63.92,62,97,101,18302.91
2024-03-04,62.89,61,97,101,18226.48
2024-03-05,52.58,51,97,101,17897.87
2024-03-06,59.79,58,97,101,18017.57
2024-03-07,63.92,62,97,101,18297.99
2024-03-08,62.89,61,97,101,18018.45
2024-03-11,64.95,63,97,101,17951.69
2024-03-12,63.92,62,97,101,18219.11
2024-03-13,62.89,61,97,101,18068.47
2024-03-14,61.86,60,97,101,18014.81
2024-03-15,53.61,52,97,101,17808.25
2024-03-18,56.12,55,98,101,17985.01
2024-03-19,58.16,57,98,101,18032.2
2024-03-20,63.27,62,98,101,18240.11
2024-03-21,64.29,63,98,101,18320.38
2024-03-22,62.24,61,98,101,18339.44
2024-03-25,58.16,57,98,101,18277.06
